genome.genome_id	feature.patric_id	feature.aa_sequence_md5
1313.13767	fig|1313.13767.peg.456	5e6a99eb147f0168c0fc380dfbca41da
1313.13767	fig|1313.13767.peg.1352	8af6131888328fe6b19c99c37d83dbaf
1313.13767	fig|1313.13767.peg.656	452e43a8f97df4f26483142f405ad12f
1313.13767	fig|1313.13767.repeat_unit.493	
1313.13767	fig|1313.13767.peg.1482	977d6d8c7270920ef9588cb184558732
1313.13767	fig|1313.13767.rna.36	
1313.13767	fig|1313.13767.peg.512	ab5517a866a115e19d8ef3a4f652d56c
1313.13767	fig|1313.13767.peg.1325	fab9f3abda6d9c8337e277b73ceb8b44
1313.13767	fig|1313.13767.repeat.35	
1313.13767	fig|1313.13767.peg.1761	4dd3948a63d63fff3f1c8e4253f95ebb
1313.13767	fig|1313.13767.peg.955	d55117c1708112cfadd36ddef16b62f0
1313.13767	fig|1313.13767.peg.1616	57b5861805d27eee82609a3d9dda2f13
1313.13767	fig|1313.13767.repeat_unit.142	
1313.13767	fig|1313.13767.peg.284	d829b9d9bae39d305089ced914c2b635
1313.13767	fig|1313.13767.repeat_unit.395	
1313.13767	fig|1313.13767.repeat.212	
1313.13767	fig|1313.13767.peg.425	fdb3e3b11587de0cdb635411cd1d5785
1313.13767	fig|1313.13767.peg.1164	cd69608946b1cf5fa3b3785e4bb1d114
1313.13767	fig|1313.13767.peg.528	5d2b88fef2b9f0b6ac0949e9cf235784
1313.13767	fig|1313.13767.repeat_unit.126	
1313.13767	fig|1313.13767.peg.185	34ff7889f6b94689c2ccf93815031ba9
1313.13767	fig|1313.13767.rna.39	
1313.13767	fig|1313.13767.peg.1765	a1b7df24af474b5537b221da2b3d193b
1313.13767	fig|1313.13767.repeat_unit.381	
1313.13767	fig|1313.13767.repeat.220	
1313.13767	fig|1313.13767.peg.1815	8228e2b3531e9c3ed68a025b30babbe7
1313.13767	fig|1313.13767.peg.901	102aedc55b7313c337233ecd14a489fb
1313.13767	fig|1313.13767.peg.2009	f11fea4755da98f2b29dfad45de370f4
1313.13767	fig|1313.13767.peg.486	0c8ad5d473d9e366fcdba8194a06b597
1313.13767	fig|1313.13767.repeat_unit.153	
1313.13767	fig|1313.13767.repeat_unit.420	
1313.13767	fig|1313.13767.peg.309	178983a2e95677f9c0a93d4364f31bc1
1313.13767	fig|1313.13767.repeat_unit.311	
1313.13767	fig|1313.13767.peg.195	4d58188aa76da22702f5e33b19293529
1313.13767	fig|1313.13767.repeat_unit.398	
1313.13767	fig|1313.13767.peg.2113	4669fd2c6b6072203b6033accf6dbe65
1313.13767	fig|1313.13767.peg.929	06646c09089441d46567533d61d92bc6
1313.13767	fig|1313.13767.peg.2234	58f3c04cf78f769ee465ad65bfde43ea
1313.13767	fig|1313.13767.repeat_unit.616	
1313.13767	fig|1313.13767.peg.1440	e8c5305689869d3ccf889799de6287c5
1313.13767	fig|1313.13767.repeat.244	
1313.13767	fig|1313.13767.peg.50	e7a701fd531870014b90519baa37eced
1313.13767	fig|1313.13767.peg.2010	b4fc676709c0f8e8b425f27147bbd21f
1313.13767	fig|1313.13767.repeat_unit.602	
1313.13767	fig|1313.13767.peg.419	0a7496e0ee92f5cf750ae67695e51b3d
1313.13767	fig|1313.13767.peg.1700	8ee616e93601f4c3949bc7949469bbb6
1313.13767	fig|1313.13767.peg.1431	d5475f487ddacf367de4ffb0a764218b
1313.13767	fig|1313.13767.peg.2141	1ec5171cad66044c9ae717d5cafb9420
1313.13767	fig|1313.13767.peg.842	c08f5193407d323db243a4103d9cdd98
1313.13767	fig|1313.13767.peg.2196	a2cc3a2db228a534c6fd4da42cdf3aea
1313.13767	fig|1313.13767.repeat_unit.125	
1313.13767	fig|1313.13767.peg.484	1f1a4cb06764bb3641ea9bdc4059bd41
1313.13767	fig|1313.13767.peg.552	d92131ab1ea878a25bc5de4e83feb091
1313.13767	fig|1313.13767.peg.799	97e01d72a3c1dc1c3905fb9a6ace2caa
1313.13767	fig|1313.13767.peg.1516	2a91f1c0385e5d24ea2d13a1f68fc287
1313.13767	fig|1313.13767.peg.1264	10df7c7d37c7cb2bafa8e2475e9919f5
1313.13767	fig|1313.13767.peg.356	f23a3263dd9f9e8994b223138c6f7882
1313.13767	fig|1313.13767.peg.2030	6401c64aa6a90c9fe4ce4c56651f67b4
1313.13767	fig|1313.13767.peg.858	b5fc7bb95984ac843e02fecf90e1438e
1313.13767	fig|1313.13767.repeat.120	
1313.13767	fig|1313.13767.repeat.235	
1313.13767	fig|1313.13767.peg.110	975d814c6dec9a7f1c83036ec5a836c0
1313.13767	fig|1313.13767.peg.1336	0085928229d7c02bc873a8bafa574f31
1313.13767	fig|1313.13767.rna.28	
1313.13767	fig|1313.13767.peg.21	64c3bed0d4579276b8b9128c71b05664
1313.13767	fig|1313.13767.peg.661	620ed301308f722e79c56520352bd26c
1313.13767	fig|1313.13767.peg.517	d521d2d8a322c61df07faa3e2b1e9299
1313.13767	fig|1313.13767.peg.1743	010badac577581f65eefd292b6ac0eb9
1313.13767	fig|1313.13767.peg.679	5f4cfe5c4c01c5802d86af414e870d9c
1313.13767	fig|1313.13767.repeat.130	
1313.13767	fig|1313.13767.peg.2052	2b719762e29ed0f47b54421be3fdc3bf
1313.13767	fig|1313.13767.peg.225	ee628330a6b6f23cb568a98b536f932a
1313.13767	fig|1313.13767.peg.1465	8435ec19a6ad8f04860c6e6702c4212e
1313.13767	fig|1313.13767.repeat.101	
1313.13767	fig|1313.13767.repeat_unit.321	
1313.13767	fig|1313.13767.peg.208	58355e1bfbea35d1ee1ceb92809ab20d
1313.13767	fig|1313.13767.peg.561	886f25549365cf929528a89e2d4ea9d9
1313.13767	fig|1313.13767.repeat_unit.456	
1313.13767	fig|1313.13767.peg.1639	1256f44cee80f692b7702e165fae51a9
1313.13767	fig|1313.13767.peg.739	a8725e9bda284fe84fd164b73d21a889
1313.13767	fig|1313.13767.repeat_unit.204	
1313.13767	fig|1313.13767.peg.796	7a36591f23199b997e54a50f3ecef4ed
1313.13767	fig|1313.13767.peg.2144	49c65be9786f22ba8def6d5a7f20379b
1313.13767	fig|1313.13767.repeat.124	
1313.13767	fig|1313.13767.repeat.227	
1313.13767	fig|1313.13767.peg.1040	19a31800205aad8f94d9444f72d3f8c6
1313.13767	fig|1313.13767.repeat.186	
1313.13767	fig|1313.13767.peg.1857	2315104875a64dd6749b67bdd7732458
1313.13767	fig|1313.13767.repeat.69	
1313.13767	fig|1313.13767.repeat_unit.205	
1313.13767	fig|1313.13767.repeat_unit.138	
1313.13767	fig|1313.13767.peg.692	6c42186c26187c26de53568a9fd23265
1313.13767	fig|1313.13767.peg.683	40acd2c89c1887e52ee68c7f9e9bda72
1313.13767	fig|1313.13767.peg.2088	022a3beaea15bf578fe7230d672cb25d
1313.13767	fig|1313.13767.repeat_unit.4	
1313.13767	fig|1313.13767.peg.1079	5e603d231400019e13ec5be0e72308df
1313.13767	fig|1313.13767.peg.1589	33b174d94a4b19e53d3c5842cde64b39
1313.13767	fig|1313.13767.peg.2185	521e27f60a0a19cd3cb69e9e56adbdce
1313.13767	fig|1313.13767.repeat_unit.7	
1313.13767	fig|1313.13767.repeat_unit.593	
1313.13767	fig|1313.13767.peg.1069	83a58aa85e2f2b2cb28aaa55a712171a
1313.13767	fig|1313.13767.peg.1578	c47ed71db5eb00fb00971310c5a1cef7
1313.13767	fig|1313.13767.repeat_unit.622	
1313.13767	fig|1313.13767.repeat_unit.394	
1313.13767	fig|1313.13767.peg.29	18ade475bb0ea32ab98232a1568b04d7
1313.13767	fig|1313.13767.peg.1137	1b6c66835411f8aee72cdb723299feb4
1313.13767	fig|1313.13767.peg.2097	8924955a5fe11a07269905f589c01ccc
1313.13767	fig|1313.13767.peg.1820	01db6c3d01bd57b0029a16b6b1a3ba01
1313.13767	fig|1313.13767.peg.1931	007658bafcc42bc0dfe850bffd9d0876
1313.13767	fig|1313.13767.peg.204	c50f5020a3517c26cf6c291b620072ac
1313.13767	fig|1313.13767.rna.45	
1313.13767	fig|1313.13767.peg.2042	bd82b9fbb782bb38b738dd0ee4aeca21
1313.13767	fig|1313.13767.repeat_unit.244	
1313.13767	fig|1313.13767.peg.1386	9de2813b971bd6382c889d56aeae6683
1313.13767	fig|1313.13767.peg.114	9fed2138899c037e8bc4e1cb1f214c4b
1313.13767	fig|1313.13767.peg.1735	f2a278534e69175a64f73a5533a3d4eb
1313.13767	fig|1313.13767.peg.2100	dbbd4a41980accfd51f3abfc647eea59
1313.13767	fig|1313.13767.peg.1542	8f4ae82f30228e4ff8336e96d734d9d9
1313.13767	fig|1313.13767.peg.753	159d7fc0b9fd534cb0709e3521e09adf
1313.13767	fig|1313.13767.peg.2232	d7cb19b0a92ef2741531de3022535bb9
1313.13767	fig|1313.13767.peg.1691	1f19c37ff7cf68e637aa74ef98a30c8e
1313.13767	fig|1313.13767.peg.277	c75e6b81c91565a34876d4b56d9feb5b
1313.13767	fig|1313.13767.peg.943	acf9895fd06f31cf0fd1e6808a9a9417
1313.13767	fig|1313.13767.peg.1084	db1b59135eaab58fd676fcde3ec15b3a
1313.13767	fig|1313.13767.rna.19	
1313.13767	fig|1313.13767.rna.4	
1313.13767	fig|1313.13767.peg.1568	2f71200f035b8d7c1477fcd6d1dfadb3
1313.13767	fig|1313.13767.peg.889	27e4599de6eb23e835fbd4ea270db51f
1313.13767	fig|1313.13767.repeat_unit.275	
1313.13767	fig|1313.13767.repeat.116	
1313.13767	fig|1313.13767.repeat_unit.359	
1313.13767	fig|1313.13767.peg.1028	b69b9897f934ef5644e27f3d00e67ddb
1313.13767	fig|1313.13767.peg.2147	cd5a242f16ddcfe9ec58fe14e88febdb
1313.13767	fig|1313.13767.repeat_unit.581	
1313.13767	fig|1313.13767.peg.1432	c876567c08ea2de2a538f5e66a9e4443
1313.13767	fig|1313.13767.peg.49	d275bf41d0d51aea711aab6c41cc1dd6
1313.13767	fig|1313.13767.peg.1068	4f2e959fc92e97e863ce5fafba658973
1313.13767	fig|1313.13767.peg.136	5ab5a3c82beea34600750254f172a583
1313.13767	fig|1313.13767.peg.1723	098f21b1aca284b0e5657b17e2b0f127
1313.13767	fig|1313.13767.peg.2172	6792161655063a2b15e7e5f01cc5093b
1313.13767	fig|1313.13767.peg.1005	4cc44dba3c9032f1080027d9d5e78846
1313.13767	fig|1313.13767.repeat_unit.174	
1313.13767	fig|1313.13767.repeat.133	
1313.13767	fig|1313.13767.peg.1623	3555c7238af65b11ced06f74c5b2a8d8
1313.13767	fig|1313.13767.peg.285	c05faef950162850ae2d39f736824e3c
1313.13767	fig|1313.13767.peg.1923	9ce11783de4b4f55c9357e4d0bfe00ea
1313.13767	fig|1313.13767.repeat.39	
1313.13767	fig|1313.13767.peg.1751	d381b003ed2d0c1e2db43d32aff0abb6
1313.13767	fig|1313.13767.peg.2214	7be9977fb1a4a84ad4341638cb086fbd
1313.13767	fig|1313.13767.peg.38	4aed78fb1b4fc4a357c56defe2bda7cf
1313.13767	fig|1313.13767.peg.957	325b4a479dd9ad97f43a7315c641f574
1313.13767	fig|1313.13767.peg.2087	d0d8c037055aa42a113e5450f841d2e6
1313.13767	fig|1313.13767.peg.558	598f1fe936d755b719af2dddc79dbbca
1313.13767	fig|1313.13767.repeat_unit.421	
1313.13767	fig|1313.13767.peg.372	5b81b1652eccc1ebe666cdcd020d0c72
1313.13767	fig|1313.13767.peg.1560	395b3206cebc306cc54d840e208ce3ec
1313.13767	fig|1313.13767.peg.758	9436ac339fdb1054026f802a59cff678
1313.13767	fig|1313.13767.peg.1617	2e44e94dbb0cffeb5cdeaa6fd038ad0c
1313.13767	fig|1313.13767.peg.421	db222f0457cdd24c9597991b38407e5f
1313.13767	fig|1313.13767.peg.924	844ce2378edf2c60a73bcbb08976d4d8
1313.13767	fig|1313.13767.peg.1972	f4d7b2c1fc1d542247e6e177e6c3fb71
1313.13767	fig|1313.13767.repeat.195	
1313.13767	fig|1313.13767.repeat_unit.539	
1313.13767	fig|1313.13767.peg.1392	d36f7182f3c5e4ae5bbec508e939d797
1313.13767	fig|1313.13767.repeat_unit.16	
1313.13767	fig|1313.13767.repeat_unit.564	
1313.13767	fig|1313.13767.repeat_unit.53	
1313.13767	fig|1313.13767.peg.1169	0462fff7fce2b650e0e08cc04499bf47
1313.13767	fig|1313.13767.peg.530	62a57f850ec616e296c8ceb89c47aa21
1313.13767	fig|1313.13767.repeat.224	
1313.13767	fig|1313.13767.peg.814	3c776c96cbd32b6766d78f824be7a00e
1313.13767	fig|1313.13767.rna.13	
1313.13767	fig|1313.13767.peg.1849	0dc5633a09229d2d6b325edd816c71d0
1313.13767	fig|1313.13767.peg.488	2c28df8cb3b8f7ae54d11256a3f3c688
1313.13767	fig|1313.13767.peg.1487	619c71e639528ac712b482a64e4d5226
1313.13767	fig|1313.13767.peg.1180	7b182311e117d77159ad08e7c9a68a56
1313.13767	fig|1313.13767.peg.1608	ad12e540b1a3a23060f07e16dacb93e2
1313.13767	fig|1313.13767.peg.1875	fab0c40f98ef347655048d9ae29054a5
1313.13767	fig|1313.13767.peg.650	8c1fdec6814194433d19500a1e601f41
1313.13767	fig|1313.13767.peg.1572	9e54517f96e03805687bde0aeaac37f7
1313.13767	fig|1313.13767.peg.1998	b44c9d4d4fa84f9e09b1c2519c4eb295
1313.13767	fig|1313.13767.peg.381	bc829aa106bc9f2a38ff21986ddb429d
1313.13767	fig|1313.13767.peg.2114	a0f8d828d5eb20c9d049e853e43c6352
1313.13767	fig|1313.13767.peg.1261	18250645ade402b31a91e6003ba0aa69
1313.13767	fig|1313.13767.repeat_unit.52	
1313.13767	fig|1313.13767.peg.1339	946969d2d14afdcdc0f6b42f396fe419
1313.13767	fig|1313.13767.peg.1445	71804bd9c8d29927b24d1c135475161d
1313.13767	fig|1313.13767.peg.455	a5335b1117ac469523a720b7823e376e
1313.13767	fig|1313.13767.peg.2001	049888c13c4e238d216941afa1612697
1313.13767	fig|1313.13767.repeat_unit.319	
1313.13767	fig|1313.13767.peg.1950	b17c9501ea2ed0d860effc89ccea5e73
1313.13767	fig|1313.13767.peg.612	77b06be8ad729012a8b68d5699aa27b4
1313.13767	fig|1313.13767.peg.1905	f01c07079b3e7ac9828ad9d41b39bef0
1313.13767	fig|1313.13767.peg.1290	7045d8e8b2516052b50747f2d91ac03d
1313.13767	fig|1313.13767.peg.1786	f7326cf8652bf1e628c4d195680c1e79
1313.13767	fig|1313.13767.classifier_predicted_region.8	
1313.13767	fig|1313.13767.peg.1561	c4ecbf3f5de5851b71b8771432fbc695
1313.13767	fig|1313.13767.peg.180	5fa7893e27a5c05146cbc38508e9aa1e
1313.13767	fig|1313.13767.peg.1496	00b677d54f926543fbb0cfb755e84dd1
1313.13767	fig|1313.13767.peg.2102	0e103e34117a7e78e07508a8d6be76c0
1313.13767	fig|1313.13767.peg.324	c2d13bca7b2ac31d3d02f2eef4e5ddbf
1313.13767	fig|1313.13767.peg.1257	7ae1901020ca6df835297efd5ee85e89
1313.13767	fig|1313.13767.peg.1932	700bf2abf91c76ef00c95508d34c06c9
1313.13767	fig|1313.13767.peg.1400	866ee2c3bec8c5f01fa5dbc2dc19f548
1313.13767	fig|1313.13767.peg.1511	363bb709e151e0d44e170ccd4645afee
1313.13767	fig|1313.13767.peg.2184	2a6c4b7d8717824374a8844ab8300cf1
1313.13767	fig|1313.13767.peg.1210	92886ec0fe60fa13efe9154bb2514fc3
1313.13767	fig|1313.13767.repeat.262	
1313.13767	fig|1313.13767.peg.688	e06be4117f647288d6854444dce69480
1313.13767	fig|1313.13767.repeat.49	
1313.13767	fig|1313.13767.peg.160	c64dd56de3e5215391a5dfa0dbdc12aa
1313.13767	fig|1313.13767.peg.959	d272acf05dc795574e30a930de928a80
1313.13767	fig|1313.13767.peg.1353	bdbb418bb33cf5af55dbc859bc8f3ff3
1313.13767	fig|1313.13767.repeat_unit.297	
1313.13767	fig|1313.13767.peg.1862	62c88cf9cbc4f26c69679044f42ae957
1313.13767	fig|1313.13767.repeat_unit.308	
1313.13767	fig|1313.13767.peg.94	f3d4b6e52fad9784f9c68293dc254806
1313.13767	fig|1313.13767.repeat_unit.245	
1313.13767	fig|1313.13767.peg.2149	60174c9eb83004b5854bf902c897941f
1313.13767	fig|1313.13767.repeat_unit.266	
1313.13767	fig|1313.13767.peg.989	2833bccf143dd2173b5c6f8aa560c200
1313.13767	fig|1313.13767.peg.1695	467ab8c45b6a1496f6cdeefeefaa71a5
1313.13767	fig|1313.13767.peg.1115	ee5f6de450a51976dc62dacd723f025e
1313.13767	fig|1313.13767.peg.863	61b2b5ef90694b194a6bc5348d13cdd6
1313.13767	fig|1313.13767.repeat_unit.288	
1313.13767	fig|1313.13767.peg.1783	999e8e56aa7c01cdff7ded2a0a7028d2
1313.13767	fig|1313.13767.peg.1856	a52c287b90d5e59033c4bdb4c82abb9c
1313.13767	fig|1313.13767.peg.1973	daf8826629e1343c6a980fba68734432
